user,text,date,helpful,source,year,wc,vader,sent,Login / OTP / Authentication,Bill Payment Flow,Web Redirect / Not Native,Rewards / MR Points,Offers / Amex Offers,Statement / Transactions / Balance,App Stability (crash/bug/slow),UI / UX / Design,Customer Service / Support,Card Controls / Servicing,Update / Version Regression,Notifications / Alerts,Onboarding / Registration / KYC,Feature Gaps vs Global App,Fees / Charges / Annual Fee
Vivek Kubaji,The app doesn't do justice to the excellent service by Amex. It's just too finicky (for lack of a better word). It's confusing is you have multiple cards. You always end up getting hard to find the card you are looking for. Hope the developers take note and improve the user interface and make it simple. An overview of all the cards which doesn't fade or animate out of view will be appreciated.,2021-08-02,164,relevance,2021,73,0.8528,positive,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
A Google user,"Theives and Frauds. Save yourselves. Don't buy any services from them. Because of the good name and services they provide, I bought an over priced car insurance from American Express. Thinking the services that American Express provides would be uniform and good, however, come to fears, they don't respond at all incase any claim. They are worst than a regular insurance company. Extremely bad. Feel free to contact me at any time for any details you need.",2019-05-03,132,relevance,2019,77,-0.3462,negative,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Google user,"The app is good to understand your activities but if we have to make a credit card payment (monthly payment) it's a pain. Just like the amex website. You are initiating the payment for the card that is configured in the same app, but still the user is asked to enter the entire details of the card then the bank account details. It's all done still in a browser, high time to build all these functionalities in the app itself and make the payment much more easier.",2019-10-04,121,relevance,2019,87,0.8068,positive,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
Tarkeshwar Sharma,"1. Just took the update and found the earlier UI was more handy. Reward points are not visible in the screen and moving the statement tab is also not good looking. Please revoke the UI change 2. It doesn't shows actual amount i.e. figures in decimal doesn't matches with the credit limit. E.g. if outstanding is 6000.39 and limit is 25,000 then it shows available credit limit as 18999.00 instead of 18999.61. the difference of 0.61 if they accumulate then it will be a problem. please correct this.",2022-05-07,85,relevance,2022,88,0.8559,positive,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False
Ujjwal Nigam,"Useless app! 1. The app does not have all the functions of the desktop portal. 2. No direct way to connect with helpdesk. 3. Payment option takes you outside of the app to tye billdesk page. 4. Rewards catalog is so lousy now (use to be elite in the past) 5. No option enable/disable card features (ATM, PayWave, Online, International etc.)",2021-10-07,65,relevance,2021,61,-0.8353,negative,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Bidyut Gogoi,"It's such a good experience speaking to Amex India customer care each time. It's like a breath of fresh air. I have about 7 different credit cards and nothing beats the customer service experience of Amex. To be frank, there are issues with Amex acceptance across many establishments but Amex's rewards program and customer service is what makes them stand out.",2021-03-18,61,relevance,2021,61,0.9081,positive,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
vignesh nishtala,"The old app was better. I don't understand why they had to remove the spend monitor to be eligible for the annual fee waiver. Now, I have to chat with an executive each time to know how much my total spending is. Though the card itself is great, the application is terrible. And Amex still isn't compliant with RBI's policy and isn't issuing new cards. Sigh",2022-01-03,57,relevance,2022,66,0.6124,positive,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True
A Google user,"Dear All, this Amex credit cards are not being accepted in many places they are just advertising that they are giving perks if we spend on card but unfortunately these cards are not being accepted so if you are paying extra for these carda you are at loss, i took the credit card by paying around 4k but now it's not being accepted so just waste of money",2019-09-18,56,relevance,2019,68,-0.8083,negative,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
Nishant Roy,Why remove useful features? The app used to show the yearly spend targets and status for annual fee waivers of 100% and 50%. Now for the same thing I have to either sit and manually calculate or call customer care. Plus the app should have features to enable disable transaction channels and limits. These are baci things. Please bring back that first feature though.,2022-09-03,48,relevance,2022,64,0.8126,positive,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
Apurva Singh,"Could be better, need following things to get it to 5 star: 1) card payment within the app using debit,net banking and upi 2) redeem points within the app 3) need that pay through notification back it was a good feature 4) shows my total spending required to skip yearly fee. (It was there I don't know why you have removed it) 5) chat banker should have full access e.g if I want higher limit or any other request I don't need to connect to call centre. Have these then you guys will deserve 5*",2020-07-03,46,relevance,2020,95,0.6908,positive,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True
